sampleNum,dataSet,experiment,growthTime_hr,harvestDate,cellTotal,cellsPerTube,batchNumber,carbonSource,Mg_mM,Na_mM,growthPhase,Mg_mM_Levels,Na_mM_Levels,uniqueCondition,uniqueCondition02,doublingTimeMinutes,doublingTimeMinutes.95m,doublingTimeMinutes_95p,rSquared,sizeFactor
21,MURI_021,glucose_time_course,24,2/14/13,7.76e+08,1.55e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.953321330946634
22,MURI_022,glucose_time_course,48,2/15/13,7.04e+08,1.41e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.917882000669213
30,MURI_030,glucose_time_course,24,2/21/13,7.8e+08,1.56e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.76246574907366
31,MURI_031,glucose_time_course,48,2/22/13,6.96e+08,1.39e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,1.59917949389878
65,MURI_065,NaCl_stress,28,2013-09-18,6.9e+09,6.9e+08,13,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.86639897920829
73,MURI_073,NaCl_stress,29,2013-11-22,4.3e+10,4.3e+09,14,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.976381754718222
81,MURI_081,NaCl_stress,29,2013-11-15,4.1e+10,4.1e+09,15,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,1
102,MURI_102,glucose_time_course,24,2013-11-06,3.8e+10,3.8e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.976381754718222
103,MURI_103,glucose_time_course,48,2013-11-07,3.4e+10,3.4e+09,7,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.825956627989652
112,MURI_112,MgSO4_stress_high,28,2013-12-12,3.9e+10,3.9e+09,22,glucose,0.08,5,stationary,lowMg,baseNa,unique_condition_24,unique_condition_14,62.16562822,56.5029441,69.08975323,0.970338997,0.944153305929267
113,MURI_113,MgSO4_stress_high,28,2013-12-12,4.1e+10,4.1e+09,22,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,2.5025728553366
124,MURI_124,MgSO4_stress_high,28,2014-01-16,3.4e+10,3.4e+09,23,glucose,0.08,5,stationary,lowMg,baseNa,unique_condition_24,unique_condition_14,62.16562822,56.5029441,69.08975323,0.970338997,0.825956627989652
125,MURI_125,MgSO4_stress_high,28,2014-01-16,3.8e+10,3.8e+09,23,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,0.908821560037862
137,MURI_137,MgSO4_stress_high,28,2014-01-31,4e+10,4e+09,24,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,63.60809667,56.92589362,72.06771046,0.959752519,1.2746211879003
147,MURI_147,MgSO4_stress_low,26,2014-06-18,NA,NA,25,glucose,0.005,5,stationary,lowMg,baseNa,unique_condition_20,unique_condition_14,69.19412053,65.29845183,73.58410671,0.988384832,0.930805553919985
148,MURI_148,MgSO4_stress_low,26,2014-06-18,NA,NA,25,glucose,0.01,5,stationary,lowMg,baseNa,unique_condition_21,unique_condition_14,64.32310473,60.79379548,68.28744883,0.98814319,0.630474562202597
149,MURI_149,MgSO4_stress_low,26,2014-06-18,NA,NA,25,glucose,0.02,5,stationary,lowMg,baseNa,unique_condition_22,unique_condition_14,62.77391883,59.65820042,66.2330145,0.990382414,0.667289993905185
150,MURI_150,MgSO4_stress_low,26,2014-06-18,NA,NA,25,glucose,0.04,5,stationary,lowMg,baseNa,unique_condition_23,unique_condition_14,60.35450581,56.57780956,64.67147228,0.984383516,0.658497083744885
151,MURI_151,MgSO4_stress_low,26,2014-06-18,NA,NA,25,glucose,0.08,5,stationary,lowMg,baseNa,unique_condition_24,unique_condition_14,58.99414607,55.43306824,63.0441689,0.985519703,0.642759036578826
157,MURI_157,MgSO4_stress_low,26,2014-06-25,NA,NA,26,glucose,0.005,5,stationary,lowMg,baseNa,unique_condition_20,unique_condition_14,69.19412053,65.29845183,73.58410671,0.988384832,0.999052188812326
158,MURI_158,MgSO4_stress_low,26,2014-06-25,NA,NA,26,glucose,0.01,5,stationary,lowMg,baseNa,unique_condition_21,unique_condition_14,64.32310473,60.79379548,68.28744883,0.98814319,0.893403411236978
159,MURI_159,MgSO4_stress_low,26,2014-06-25,NA,NA,26,glucose,0.02,5,stationary,lowMg,baseNa,unique_condition_22,unique_condition_14,62.77391883,59.65820042,66.2330145,0.990382414,0.976381754718222
160,MURI_160,MgSO4_stress_low,26,2014-06-25,NA,NA,26,glucose,0.04,5,stationary,lowMg,baseNa,unique_condition_23,unique_condition_14,60.35450581,56.57780956,64.67147228,0.984383516,1
161,MURI_161,MgSO4_stress_low,26,2014-06-25,NA,NA,26,glucose,0.08,5,stationary,lowMg,baseNa,unique_condition_24,unique_condition_14,58.99414607,55.43306824,63.0441689,0.985519703,1
167,MURI_167,MgSO4_stress_low,26,2014-06-29,NA,NA,27,glucose,0.005,5,stationary,lowMg,baseNa,unique_condition_20,unique_condition_14,69.19412053,65.29845183,73.58410671,0.988384832,0.953321330946634
